Month,Covid,Data_day
2020.1.1,0,2023.8.7
2020.2.1,1,2023.8.7
2020.3.1,9,2023.8.7
2020.4.1,3,2023.8.7
2020.5.1,29,2023.8.7
2020.6.1,27,2023.8.7
2020.7.1,3,2023.8.7
2020.8.1,42,2023.8.7
2020.9.1,34,2023.8.7
2020.10.1,18,2023.8.7
2020.11.1,40,2023.8.7
2020.12.1,145,2023.8.7
2021.1.1,90,2023.8.7
2021.2.1,74,2023.8.7
2021.3.1,93,2023.8.7
2021.4.1,94,2023.8.7
2021.5.1,32,2023.8.7
2021.6.1,64,2023.8.7
2021.7.1,421,2023.8.7
2021.8.1,28,2023.8.7
2021.9.1,350,2023.8.7
2021.10.1,517,2023.8.7
2021.11.1,736,2023.8.7
2021.12.1,1907,2023.8.7
2022.1.1,1962,2023.8.7
2022.2.1,22839,2023.8.7
2022.3.1,75403,2023.8.7
2022.4.1,27647,2023.8.7
2022.5.1,4431,2023.8.7
2022.6.1,1045,2023.8.7
2022.7.1,8842,2023.8.7
2022.8.1,21576,2023.8.7
2022.9.1,10626,2023.8.7
2022.10.1,6153,2023.8.7
2022.11.1,11843,2023.8.7
2022.12.1,13910,2023.8.7
2023.1.1,8377,2023.8.7
2023.2.1,2024,2023.8.7
2023.3.1,2389,2023.8.7
2023.4.1,2863,2023.8.7
2023.5.1,4188,2023.8.7
2023.6.1,2273,2023.8.7
