확진월,코로나19 확진자 수,데이터기준일자
2020-01-01,0,2023-08-07
2020-02-01,1,2023-08-07
2020-03-01,9,2023-08-07
2020-04-01,3,2023-08-07
2020-05-01,29,2023-08-07
2020-06-01,27,2023-08-07
2020-07-01,3,2023-08-07
2020-08-01,42,2023-08-07
2020-09-01,34,2023-08-07
2020-10-01,18,2023-08-07
2020-11-01,40,2023-08-07
2020-12-01,145,2023-08-07
2021-01-01,90,2023-08-07
2021-02-01,74,2023-08-07
2021-03-01,93,2023-08-07
2021-04-01,94,2023-08-07
2021-05-01,32,2023-08-07
2021-06-01,64,2023-08-07
2021-07-01,421,2023-08-07
2021-08-01,28,2023-08-07
2021-09-01,350,2023-08-07
2021-10-01,517,2023-08-07
2021-11-01,736,2023-08-07
2021-12-01,1907,2023-08-07
2022-01-01,1962,2023-08-07
2022-02-01,22839,2023-08-07
2022-03-01,75403,2023-08-07
2022-04-01,27647,2023-08-07
2022-05-01,4431,2023-08-07
2022-06-01,1045,2023-08-07
2022-07-01,8842,2023-08-07
2022-08-01,21576,2023-08-07
2022-09-01,10626,2023-08-07
2022-10-01,6153,2023-08-07
2022-11-01,11843,2023-08-07
2022-12-01,13910,2023-08-07
2023-01-01,8377,2023-08-07
2023-02-01,2024,2023-08-07
2023-03-01,2389,2023-08-07
2023-04-01,2863,2023-08-07
2023-05-01,4188,2023-08-07
2023-06-01,2273,2023-08-07
